Video Title,External Video ID,Video Length,Thumbnail link,Country Code,Is Subscribed,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AZ,true,41,4,0,0,6,0,0.4615399755155853,239.07770731707316,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,ZA,false,891,23,1,0,0,0,0.5071701680035013,262.7141470258137,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LB,false,100,1,0,0,0,0,0.431719749034749,223.63082999999997,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IL,true,90,2,1,0,9,0,0.4118864221364221,213.35716666666667,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MM,true,29,0,0,0,3,0,0.3987017041672214,206.52748275862066,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,NZ,true,66,7,1,0,7,0,0.5129030069030069,265.68375757575757,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LV,false,49,2,0,0,0,0,0.43389181309589475,224.75595918367347,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BZ,false,7,0,0,0,0,0,0.5813350799779371,301.1315714285714,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IM,false,2,0,0,0,0,0,0.40912644787644786,211.9275,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CF,false,2,1,0,0,0,0,0.049648648648648645,25.718,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AT,true,61,4,0,0,9,0,0.45267849230963986,234.48745901639344,0
